Trame codée bruitée,Trame binaire originale
"-1.0223060333217122, 0.8706261552413282, 1.2371628597255708, -1.0404867515659668, -1.1090493274327669, -0.9774916526311221, 0.9264609896663152, 1.1431566514246778, 0.9875673363896676, 0.9411013316018204, 1.0182251745361437, -0.8772714626567597, 0.8422564956250852, 1.175818276454022, -0.972821469316404","1.0, 0.0, 0.0, 1.0, 1.0, 1.0"
"1.1677745143631506, -1.0519684561851057, -0.8684607212831222, -1.0558534578351266, 0.9028435412385063, 0.9420378297193936, 0.9540243140548068, -1.0835680385748545, -1.0758587919781342, 0.9077692789053033, 1.1230647165004104, 0.7809447317372514, -1.0283120754680366, 0.7438871582645809, 0.8999338904269367","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
"1.204937259959377, 0.9876992400606562, -0.9704415612805325, -1.0569098781876372, -0.9565926282260804, 1.042660943840702, -0.9378649842169778, -1.2418165139427484, 0.9471550650205467, 0.8858214302618163, 0.9057562352889701, -1.080795098018883, -1.0222424746925498, 0.9548617635631838, -1.1389860448964493","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
"-0.8786740063293415, -1.0572028054995197, -1.0759158178210968, -0.9774264678369746, -1.0988262900628398, -1.0825366814392756, -0.8376435622202918, 0.9445031091085287, -0.9643820159669834, 0.8672890059589372, 0.9210390611850794, -0.8816038024256062, -0.82892960164509, 1.1404263818858598, 1.1885252704600255","1.0, 1.0, 1.0, 1.0, 1.0, 1.0"
"0.9124231270305828, 0.88207737304487, 0.7406476936268532, -1.127059380414321, -1.0541689625247255, 1.1931506972112844, 0.8121763504012462, 1.1322103041157823, -0.985569632245032, -1.1179626690735283, 1.0702895135881858, -1.135707535835951, -1.1018355276221232, 0.8278947330320553, 0.7216761416932742","0.0, 0.0, 0.0, 1.0, 1.0, 0.0"
"0.8780931959677942, 1.0608912034702371, 1.097514708083752, 1.0904378502433258, -1.0439927677067606, 0.838562252496323, -0.9514302650460205, -0.8836078711442173, -0.9284262701654601, -0.9052886216870787, 0.8228907675383172, -0.6388140017607504, -1.0640526587515484, 1.0294731779012805, -1.21378808395196","0.0, 0.0, 0.0, 0.0, 1.0, 0.0"
"-0.8234406859770684, -1.0851989284618566, -1.0430080964790718, 0.9172967259571853, -0.8476490850569306, 0.9632617537545916, 0.8841075088176557, -0.8511869427956535, -1.126101209543328, -0.9448395026989775, -1.0119459767375696, 1.023241102756908, -1.0537891507400767, -1.042408991456168, 0.7029620797779295","1.0, 1.0, 1.0, 0.0, 1.0, 0.0"
"-0.9715033851006762, -1.0705673442410122, -1.056114966530639, -1.078189449348013, 1.1425007677453582, 1.030855742695332, 0.9112930576487707, -1.139490102970576, 0.895913041568774, 1.0052365053475316, -1.0904738533789966, -0.9419672854413441, 0.9244947420380875, -0.9017947767614884, 0.9632369222100221","1.0, 1.0, 1.0, 1.0, 0.0, 0.0"
"-1.0461750606446305, -0.9931697744065715, 0.7516697493139881, -0.901933658698205, 0.921077224014874, 1.287530611874262, -1.064912281958884, 1.029453198122275, -1.0050703290386769, -1.190437079190425, -0.8683597750131609, -1.1688272456307671, 1.0114858337465455, -0.9575937957385815, -0.9894173901783951","1.0, 1.0, 0.0, 1.0, 0.0, 0.0"
"-1.0472852327261892, 0.8847285911922762, 1.1204296533985008, -1.1213849938543312, 0.9542621557495964, -0.7723701958107756, -0.8949884522169417, -1.0084419811111407, -1.1933694994640083, -1.1265681005847643, 0.6539194338258421, 1.019972652356526, -1.1504199436293518, 0.8650155406203814, 0.9963254737111837","1.0, 0.0, 0.0, 1.0, 0.0, 1.0"
"-0.9005759872193064, 1.307622710891153, 0.9647276719065494, 1.0735714591847012, -0.7190753585198406, -1.2080568614284175, -0.8233294690646957, -0.9094507834728475, 0.9039793555800755, 1.065479092166362, 0.8009055323342741, -0.956302291046702, 0.7259512002437596, 1.3255495878199413, 0.9839127509654015","1.0, 0.0, 0.0, 0.0, 1.0, 1.0"
"0.9034371130453748, -0.8679954801808355, 0.8832080733612244, 0.9246999787178373, -1.0036900366446126, -0.9468417069201424, -1.1106212807042035, 1.0819873966953997, -0.9974124460112511, -0.9864562697966452, -0.9275267583501011, 0.8742436313401054, 0.8331784984277173, -0.8827732593778166, 0.8513678307094871","0.0, 1.0, 0.0, 0.0, 1.0, 1.0"
"-0.9139233706502289, -0.904628296978064, -1.0193156788988196, -1.2467042042757892, -0.7754681170649844, 1.1114965539811696, -0.9683337032437875, 0.9370229311147666, -0.8997489887880398, -0.9241226111914209, -0.8201988659040764, 0.7956898801957469, -0.9928721395623774, -1.0450869603261292, -0.9409758475042005","1.0, 1.0, 1.0, 1.0, 1.0, 0.0"
"-0.9436895042787925, 0.8693233328661711, 0.5830366229083467, 0.9850429976678179, -0.7679930632384916, 1.1300591613366577, -1.0947052652375824, -1.169070234072295, 0.9796883999819838, -0.9353666933774893, -1.2706769820866752, 1.151445520773183, 0.9183381097144397, -1.0984016684721067, -0.8422779924917781","1.0, 0.0, 0.0, 0.0, 1.0, 0.0"
"0.9966498117955882, -1.0768562234798797, 1.025049883321071, 1.0071949135589224, -1.0662917589121914, 0.8678709963017459, -0.8958169421361784, 0.9055935567041355, -0.9666244634273035, 0.9484660812952916, 1.0776189369425484, -1.0287460666795096, 1.0402915954550478, 1.2778019580191846, -1.115664094387731","0.0, 1.0, 0.0, 0.0, 1.0, 0.0"
"-1.0019024926045346, -0.8680526305971136, 0.5316181134668392, 1.2265174816999895, -0.9533871222398153, 0.9531762635006948, -0.9153279328254865, 0.8403073077879457, 0.9509934951991966, 0.9852396227487987, -0.8049362407608882, 1.2025664369956062, -1.0565109395281465, -0.9572104043506263, -0.9597122843210087","1.0, 1.0, 0.0, 0.0, 1.0, 0.0"
"1.0183639555178987, 0.7181454233712065, 0.9734436561052846, 1.0045283723460299, 0.8772435282963104, -0.9349427156073048, 0.782701846412921, 0.930536354650456, 1.068181418184216, -1.1475805394721004, -0.901265283505683, -0.8258405821035268, 1.0678249526862353, -0.7259483691519629, -0.9657272432705983","0.0, 0.0, 0.0, 0.0, 0.0, 1.0"
"0.7854566546013816, -1.115130625557289, -0.8730561546612792, 1.092658939958431, 1.1114949002732846, -0.6916463008399168, -1.063082227584565, 0.932477186401305, -1.1436355709807506, -1.202862635782013, -1.0026418157713561, -0.9044286018747978, -0.9739927891179658, -0.949646036114202, 1.146577548730852","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
"-0.9491933485193573, 0.7096947386541628, -1.0939607417858566, -0.7779571740049284, 1.3421738884780094, 1.1497517650262876, 1.0463535975330749, 1.1422886538231556, 1.1860034693378037, -1.2301376341152264, -0.8897394011469248, -1.0655585012816546, -1.1701845325392266, -0.6561447108664685, 0.8936390462629029","1.0, 0.0, 1.0, 1.0, 0.0, 0.0"
"1.0124224737355476, -1.1249050871191502, -1.0261097211359815, 1.0354134687962893, -0.922925646425882, -1.1090907794208005, 1.3996413439963498, -0.9482375988549857, 0.8962435483934141, 0.9441591232752973, -1.0362618218795279, 0.9461237887679159, 0.6792587005503244, -0.6354724921437536, -1.2330174900349986","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
"0.9220793521855214, -0.8480163404769554, 0.9730132733564959, 1.0432959372161874, -1.0081154700558728, 1.156254817126094, -0.7258900386526793, 0.8889858233216009, -0.8669017174032314, 0.9857694358285456, 0.7504513819235026, -1.132687981569591, 0.9706219622372058, 0.9031187241681229, -0.986234996314328","0.0, 1.0, 0.0, 0.0, 1.0, 0.0"
"0.9893877135880057, -1.0283049610720891, -0.9567280856376232, -0.9911182899622454, -1.0662074141606148, -1.1625297925468492, -1.2256600413807666, 0.7692603069775501, 0.7649961191152879, 1.0861558602048804, -1.2872466365408182, 1.2289563864100037, 1.2255628955207483, -0.8540272346443261, 1.2355075067997612","0.0, 1.0, 1.0, 1.0, 1.0, 1.0"
"0.9382374523072514, -1.1576381346168012, -1.1796554949154934, 0.8130337779300327, 1.2774619146701434, -0.8941846203746957, -0.9668042821887414, 0.8012817609756853, -0.9553648071687785, -1.0128665505944157, -1.092941438666717, -0.8798446808482536, -0.9663464720523147, -1.20057185793745, 1.1831251588787328","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
"0.9368012491700899, -0.9020865221699071, -0.9148791330874938, -1.2694780785107702, 0.7668346160533837, 1.0603099470082062, 0.9062194256998081, -1.0215877845124193, -1.016346867237776, 0.9925106324262227, 1.0398509027220477, 0.9718330386331723, -0.9874413462964131, 0.9464260920596798, 0.9908026468836665","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
"1.1411574114215668, 1.3358494843606321, 0.9371333221941243, 0.9485590311112845, -0.8258334769506859, -0.9135418747955314, -1.000921877000319, -0.9459180879541789, -0.9984661664745412, 0.7313027797006904, -0.8176119515762544, 1.0362551884535232, -1.0310389469781747, -0.8025824348992245, 0.8382585798980682","0.0, 0.0, 0.0, 0.0, 1.0, 1.0"
"0.9288739625604738, 1.0141609500742057, -0.9714840042612799, -0.8175302021174515, -1.0663744873110756, 1.0538465473931238, -0.925257180981249, -1.2378534097609886, 1.3134602230143815, 1.2124330920296924, 0.9550437146227014, -1.058621423196196, -1.0125297503500459, 1.1594534684801747, -0.9940965456102382","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
"-0.8493179826582341, -1.0198909649969707, 0.9279048392216089, -1.1804509730012902, -0.8029504651357591, 0.9820157344610911, 1.0401516187286424, -1.0275018234354232, 0.9315535350693991, 1.2457660332322449, -0.7817191168113546, 1.0237135176488046, -0.9319763054058537, -1.0084031618711078, 1.1773942187864181","1.0, 1.0, 0.0, 1.0, 1.0, 0.0"
"1.0006570600170384, -0.9292640071625855, -1.061468132491584, 1.160808579749057, -1.1437159601017446, 0.7807782260076225, 1.0609629780622496, -1.0260976230995649, 0.8319399295397032, -1.0073738161604278, 1.043708496442977, -0.8701986471125249, 0.98727207644347, 0.9585991149220887, 0.8746913769549411","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
"1.2099114922622711, 0.9425714841403389, -0.8866237367250488, -1.118516638780626, 0.904677698496431, 0.7895561280965996, 0.8435370514131435, 0.964918095697052, -1.0239189404573805, -0.8664063414458028, 1.2112502834906649, 1.2622644183229486, 0.9790445421270485, 1.160077735508001, 0.9741348332690651","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
"-1.2006868060506921, -0.8606727304210106, 0.928510807861756, -0.8801941768351127, -1.0148289836014919, 0.9145692728745493, 1.140296524605846, -1.0731809895469646, 0.9061235949307682, 0.8448744801564162, -0.7382897063557384, 1.008169159755416, -1.292051965769941, -1.0791018468420994, 1.1738737948696416","1.0, 1.0, 0.0, 1.0, 1.0, 0.0"
"-1.0917629222882215, 1.2500109674119388, 1.0991550512411281, 1.087611480743317, -1.3183021528991092, -1.0668365475047408, -0.8117598631617423, -1.0298335928457931, 0.9778756342858833, 0.8437174228025293, 0.7759839045565639, -1.1238550128083733, 1.0064020462381802, 0.7562769522163351, 1.1931128146069363","1.0, 0.0, 0.0, 0.0, 1.0, 1.0"
"1.2087205225703217, -0.8946833798953354, -0.9515703307070862, -1.0686542189678312, 0.8702321370440773, 1.0357825783594623, 1.1838424462111583, -0.9250970020577426, -0.9217100440894579, 1.1693079790843084, 1.0562172316903191, 1.261167982415493, -1.1980779204768193, 1.0639718650802084, 0.9517596082439138","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
"1.1791101100356616, 1.0603627325012626, -1.0050452744953324, 0.9510264510975257, -0.8862857100058585, 1.0486194743330866, 0.8304877717690948, 1.0403022295390414, 1.2493586064078102, 0.9369050675963918, 0.9775320873627706, -0.8373850902507619, -1.0488773487476386, 0.9471470676913353, 1.2437573463485267","0.0, 0.0, 1.0, 0.0, 1.0, 0.0"
"0.7959307616151944, 1.0356090037441634, -0.9751114969783612, -0.8869386580372692, -0.8588984471840031, -0.4957906768364468, -1.169205671840646, -1.017895501600524, 0.8835288887476153, -0.9357041300925037, -1.051376847151974, 0.9596551627704096, -1.1066913902678492, -1.1387241942690944, 1.1157837933505517","0.0, 0.0, 1.0, 1.0, 1.0, 1.0"
"0.9228634175580128, 1.0886824165931703, -1.1635501447390635, 1.0724703243977973, -1.1317664127318718, 1.1552918008426305, 1.0331928936207047, 1.0775922570678071, 1.0098459863370228, 0.7793369340726708, 1.0231343046200954, -1.0056508234538961, -1.0406917510007527, 1.1011553729532209, 0.7726770049592078","0.0, 0.0, 1.0, 0.0, 1.0, 0.0"
"-1.1060723762978388, -1.082065582775709, 0.9783539637551226, -0.9590930201122871, 1.1579487820983723, 0.9045022330187686, -0.987397803280773, 0.9169276006114235, -0.994742985741953, -0.840097686243009, -1.1866928514513935, -0.9759406114138727, 0.8800607243607772, -0.9644053704137058, -0.9363080094308498","1.0, 1.0, 0.0, 1.0, 0.0, 0.0"
"-0.9306500824187198, 0.8559592239777901, 1.103152039076173, 0.801623784092071, 1.1909097559718695, 1.1702620053839192, 1.1011066072268618, 1.0397527001942248, -0.925617319518209, 0.9095364717515, -1.093678198059021, -0.7827144010800267, -0.9161422212087138, -0.9828677474709556, 0.6467610217543404","1.0, 0.0, 0.0, 0.0, 0.0, 0.0"
"1.061670518744167, 0.9151243908412835, -1.1385332538836401, 0.9533025552729839, 0.9831225351542765, -0.8991434414013711, -1.1895620878080968, -1.035684290367467, -0.9885010518746962, 1.0837788794358372, -0.9524441964651866, -0.774078825123326, 0.8329461995576694, -1.0043115399897915, 1.0363733349610103","0.0, 0.0, 1.0, 0.0, 0.0, 1.0"
"1.054461837626638, -1.1027471685624455, 1.1443622815673684, -1.1443987949864871, -1.0660751327104119, -1.0674633943475533, 0.976038371037714, -0.9980533310025587, -0.9553160383586599, -1.0887547715523171, -1.1948008042449225, 1.0286689820481683, 0.781946676361337, -1.047701186492251, -0.9632834937856515","0.0, 1.0, 0.0, 1.0, 1.0, 1.0"
"-1.1712394255377503, -1.0124895850770776, 1.0926404443602318, 0.9172247429637267, -0.9177217476841307, -1.1267726247541006, -0.8267977725654513, 1.128075764194527, 1.092803103030535, -0.9377044050062312, 0.9759503859356258, -0.874997356404282, -0.9312688899185778, 0.9959186109396397, 0.8377815808466698","1.0, 1.0, 0.0, 0.0, 1.0, 1.0"
"0.798074974828273, -0.9954436492699038, 1.3030989411032565, 0.8798313711988163, 1.1919515842235648, 0.9260250418450674, 1.1610602720462537, -0.926582678571811, 0.8478362298888188, -0.9323057596239961, 1.08068673694927, 1.2706443738925133, -0.9548011537594583, 1.096344520076936, 0.8494449099486081","0.0, 1.0, 0.0, 0.0, 0.0, 0.0"
"0.7076920567345519, -0.9714691972301157, -0.6758880900891431, 0.9480985065745481, -1.0145036556349025, 1.1472610352254515, 1.20823687720169, -1.1356983013872808, 0.8862681866948559, -1.0700663773532642, 1.069518169997321, -0.9887026228579944, 1.2440954867461629, 0.8692815739949697, 0.8618790337605586","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
"-0.7184073721943063, 0.9538948746606849, 0.788850739524926, -0.9237171103696938, 1.0017375956542334, 0.8826808628764362, -1.111542945316825, -0.8636354393660979, -0.7855265053937084, 1.2250500253284191, -0.9360265254299175, -0.8287170066230812, -0.8600735117424905, -0.7090209108451705, -0.9199101592331392","1.0, 0.0, 0.0, 1.0, 0.0, 0.0"
"0.9428654912704124, 0.9022809956415759, -0.9216727161675565, -1.3308920091630374, 0.9103261458721829, -0.8844423526811023, 0.7796870963025205, 1.092401686015804, -0.9482193289209063, 1.1703492159803806, -0.7067940383281796, -0.9902258146758558, 0.9783528336812974, -1.0504026784512919, -1.0984426057143613","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
"-1.0174509446821822, 1.1184789958471524, 0.9224563292893714, 1.0935757318842827, -0.8945769082500545, -1.2706011366549625, -0.8685550502610322, -1.1739990863490124, 1.0654355366411867, 1.1137012400839488, 1.2942648894150652, -1.0145654690869816, 0.9189341019355326, 0.9782256068173268, 1.1626979287172126","1.0, 0.0, 0.0, 0.0, 1.0, 1.0"
"-0.9154301308561253, -0.9134363427262864, 0.7907208500418325, 1.0471631968782753, -1.052239103250887, -1.0994148774732706, -1.1481574637181626, 0.9339608184991606, 0.8736950153478319, -0.9492842730792819, 1.0359624251242532, -1.0371869393955584, -1.1685977505618468, 0.8910814137487088, 0.9982230744879523","1.0, 1.0, 0.0, 0.0, 1.0, 1.0"
"-0.8676618189760149, 1.1935052205126464, 0.9481296446694205, 1.0519038712792737, 1.019429520487298, -1.0340302045592908, 1.043963628380379, 1.0182354875435242, -0.9075588787150216, -1.2339389764627846, 0.8599344018667485, 1.177398056304256, -1.121304742045688, 1.144800885345637, -1.1013024536933387","1.0, 0.0, 0.0, 0.0, 0.0, 1.0"
"-0.945040544708837, 0.920869225030774, 0.8861720349924662, 0.999520325539402, -1.1313894802935385, 1.1282864479692645, -0.8590728551998461, -1.0887707397913846, 1.070462256256822, -1.03675719243777, -0.9391793816823951, 1.306977044250241, 0.9911637188294967, -0.904071171696707, -1.1268948133373322","1.0, 0.0, 0.0, 0.0, 1.0, 0.0"
"1.1140667243431028, 1.0755641853554687, -0.7626117003227012, -0.8236006620377337, 0.7977653839857896, 0.9919992935656574, 1.0413406610230267, 1.0188413554790958, -1.0896607439559516, -1.102546444367289, 1.2134880567277324, 0.994121345880227, 1.3009717958444509, 1.2674351640799109, 1.0222429106783986","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
"-0.9562179401854534, -1.12096373968284, 0.9320629273055723, 1.0102275854962501, 0.9956395908416129, -0.6900703963049993, 0.8404182370929525, -1.2406667391719584, -1.2281591173330715, 1.1316332154607365, 0.939064985562898, 0.8452857544218353, 1.0231142759429277, 0.596646634938527, -0.9083655034889911","1.0, 1.0, 0.0, 0.0, 0.0, 1.0"
"0.874534312061126, -1.0970555461654836, 1.1898513691244528, 1.0567004416241683, -0.8516478326383509, -1.1838265874665712, -1.194917161797692, 0.9999465222340216, -1.1373472483923976, -1.082315031854663, -1.142445134023431, 1.0045067194423767, 0.8226041902454905, -1.030044968648959, 0.9239959152527497","0.0, 1.0, 0.0, 0.0, 1.0, 1.0"
"0.9015122766397962, 0.7883215880229536, -0.8099829675199117, -1.235276679427894, 1.0606992286136727, 1.2958017676654165, 1.1242591298133018, 1.2055785562815475, -1.0489750897441614, -0.8203906115637227, 0.9945518914285357, 1.1004200257941035, 1.1498140230995764, 0.9582976389820091, 1.0728587298192838","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
"1.085119363117028, 1.0447914558060043, -1.0410509584191834, -1.0452242300837922, 1.0698144946525756, -1.0552069717340034, 0.8352957645317136, 1.0144000991558504, -0.8193809653149855, 1.170677194409894, -1.19228702232635, -1.1114063002251988, 1.0864393784906532, -0.7585131929331337, -1.2031760962501947","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
"0.7770963686486315, -1.0442335063290042, -1.0291707245989687, 0.9438711758458103, -0.8008052179750269, 1.1588679719709734, 1.1743884715350659, -0.7953278516302966, 0.9703840924943017, -1.0474013331766558, 1.1295597810463756, -1.0781379237075972, 0.9106288137898183, 1.0053569700042189, 0.9126282834477395","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
"-1.0816394234098436, 1.07473853353331, -1.1066316785100905, 0.984188646656335, 0.8613584844206408, 1.214067828031934, -0.9564329456848631, -0.9043183962034989, 1.0345505914641162, -0.8889841008363439, -1.1954503020131662, -1.0141001591215564, -1.0127306220808647, -0.9759821400182438, -0.8200900719864495","1.0, 0.0, 1.0, 0.0, 0.0, 0.0"
"1.0196053364350752, 0.8544348224507217, -0.8350157158489342, 0.9757832991644191, 0.9783022553303877, 1.0655266882369636, -1.2027269333199655, -0.9961920769717373, -1.003682216811235, -1.2668792274192722, 0.6949399283394992, 0.827532456942023, 0.9468916968290441, 0.9874276958774006, -0.7830216937665186","0.0, 0.0, 1.0, 0.0, 0.0, 0.0"
"1.1963125389827756, -1.1325997124679132, -0.8819182350895332, -0.9198421925028265, -1.0561837691316254, -1.00614148130836, -1.0080122034702428, 1.2029031124969145, 1.1171374596558752, 0.9914878869691841, -0.9368033597180017, 0.7307196996682599, 1.1248940826212792, -1.114378285024435, 0.9920729647429523","0.0, 1.0, 1.0, 1.0, 1.0, 1.0"
"-0.9164536337665374, 1.0227926775949485, -1.2008636475796766, 0.8687225933911669, -0.9811393631168706, 0.8084446121860696, 1.0108846586472047, 1.159485849075841, -1.1558070029993301, 1.1299453266535344, -0.7813913062747511, 0.8403313012149102, 0.9245030017694258, -1.2683862428113035, 1.062258668469712","1.0, 0.0, 1.0, 0.0, 1.0, 0.0"
"-0.9628119279624191, 1.173117873111354, -1.1641304098532814, 1.0138871057532648, -1.1517955727597298, -0.9208274595795857, 0.9053398226285483, 1.0651539333749773, -0.91133042397636, -1.083803123685738, 1.0214919986821602, -0.889903367440235, 1.079681880107043, 0.9609218405216042, -0.97855633325829","1.0, 0.0, 1.0, 0.0, 1.0, 1.0"
"1.1925852761997329, 0.8733063821593242, -1.031323404954752, -0.8397528467196728, -1.2056134435464827, -1.0044934030064354, -1.022089474140976, -1.090958601716153, 0.8341997541093378, -1.145180208546834, -1.2221288964696295, 0.9686213855273581, -0.8274051637840437, -1.0918850639071753, 1.0677828750740876","0.0, 0.0, 1.0, 1.0, 1.0, 1.0"
"-1.0302752810732827, -0.9868866699810895, 1.0996833119849498, 1.1583022212356648, -0.7835480914137267, 1.1882979481580316, -0.9586260168115383, 1.1384671301445943, 1.0217845858235217, 1.0522113745939714, -0.7625068228368255, 0.8784842606104327, -0.9810434360155655, -1.0116087296034924, -0.8532921422240667","1.0, 1.0, 0.0, 0.0, 1.0, 0.0"
"0.574430379090502, -1.230410982416939, -1.381698370729004, -0.7703947915862388, 0.9994813000175975, -1.0340267685061733, 0.9717014934223194, -0.9180100805403942, -0.9418245565485385, -1.1698003210962984, -0.9265748320127379, -0.7970511852729179, -1.1133002774036087, -1.043576314605976, -1.0175341892286656","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
"-1.1057572832530842, 0.8604024706727876, -1.029328175766136, 0.8579063581413957, 0.933477006317413, 0.957220026537811, -1.0794652007826397, -1.2888292747241612, 0.7873291553942842, -0.8612294908997354, -1.26186641525287, -0.8963007288859368, -1.0018269096836505, -0.9961169041118009, -1.4506308097933227","1.0, 0.0, 1.0, 0.0, 0.0, 0.0"
"-0.9238372169504934, 0.9928386013734526, -1.0047006247978603, 1.0485202547662942, 1.0199555232594368, -0.8254913188836039, -1.0475579382237266, -1.029526109415739, 0.9494283372925366, 1.2143671494625994, 0.9182377600110594, 0.9756366621641501, -1.0577719001991372, 1.1236564151446087, 1.0665336367960667","1.0, 0.0, 1.0, 0.0, 0.0, 1.0"
"-1.1905119892194436, -1.1053783745353805, 0.9423609312645024, 1.2113153805649455, -1.150181783633983, -0.9302775507405928, -1.0111020605207661, 1.0411509318570662, 1.2439290934880936, -0.7805755051921583, 1.2411296778891456, -1.228463920412975, -1.026041668127889, 0.8204440328310841, 1.0068664009636925","1.0, 1.0, 0.0, 0.0, 1.0, 1.0"
"1.1772701059078676, 1.392179223556274, -0.8307462540494437, 0.9864111006926936, -1.0926296920954635, -0.9937960626643549, 1.005354528121513, 0.7916814357543831, 1.1513620590113072, -0.8551053079856393, -1.1228786522372665, 1.1499945510663554, -1.342278064565325, -0.7708160369534522, -1.0953363825650186","0.0, 0.0, 1.0, 0.0, 1.0, 1.0"
"-0.9894819341189257, 1.0200185541237683, 0.6928586300058123, -1.1256443156101819, -0.88084129064572, 0.9267975857637447, 1.3078962271940606, 1.22153308113088, 0.982494548443339, -1.1503174519548756, -0.9431850186711849, 1.147635828194262, 0.9326968892762557, -1.0417049151755091, 1.0143878182334451","1.0, 0.0, 0.0, 1.0, 1.0, 0.0"
"-0.6959296776419047, 0.9609191027380193, -0.6913576947689543, -1.0994537954545731, 0.6985209607723206, 0.7829247786568477, 1.0071123599732341, 1.0016587916172932, 0.9822301856977219, -1.0491675600540966, -1.0009973237158811, -1.12591291051186, -1.0763611297310016, -1.153420686811377, 0.9472663128544049","1.0, 0.0, 1.0, 1.0, 0.0, 0.0"
"0.879198253121646, 0.8974792416143008, -1.1309851934888233, -0.9283510918351834, -0.8336590871344673, 1.0742974219327055, -1.1194237225429866, -1.1524195681946572, 1.0727367028040204, 1.1434841518582377, 0.8858680730419528, -1.0948371274294408, -0.6781605881109056, 1.0212245232225496, -1.0720852850574112","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
"-0.8520013703450338, -0.9555153568312376, 1.0516871814758308, 1.0327300531134438, -0.6662616727608628, 1.035547638888786, -1.0907433747804551, 0.9321792336804869, 0.7556763011141054, 0.871678834033627, -0.8164269390451946, 1.1864100796223422, -1.0708799205558313, -1.1260737118857662, -1.122905252333224","1.0, 1.0, 0.0, 0.0, 1.0, 0.0"
"0.9642021931463707, -0.9719129723599969, 1.1127433314984234, -0.8403202626818407, -0.9924833231622614, 0.8761720899071778, 0.8423965786286532, -1.001071625712665, -0.9845163267400705, 1.1445029417400803, 0.9287387254425628, -0.9413942817715244, 1.21538040074344, 1.0336232776926304, 1.0168735022450592","0.0, 1.0, 0.0, 1.0, 1.0, 0.0"
"1.2621565656500842, 0.763027949595411, 0.8959697082721402, 1.1770925845187987, 1.0297639029176167, -0.9308389663483473, 0.692075416233744, 0.8950835993620826, 0.7688635759282288, -0.8017776348686069, -1.071878884485442, -0.8726620394883207, 1.1201986634895085, -0.7149107190882288, -1.0110323044481009","0.0, 0.0, 0.0, 0.0, 0.0, 1.0"
"-0.823645186765242, -1.0097302441350653, -1.0212067460019403, -0.9247457423905864, -0.8564432589566233, 1.1224426300047499, -1.0321772119531205, 1.0229601610484629, -0.9989258645369784, -0.9458857438497829, -1.0599629250106901, 0.8747918530946868, -1.0900890383210264, -1.0528321116302426, -1.0233718029906824","1.0, 1.0, 1.0, 1.0, 1.0, 0.0"
"1.1505508998603446, -1.044548678701294, 1.0747860812363297, 0.9208481751765676, -1.1322900792317194, -0.8839028520737062, -0.98825722574218, 0.8514942357382065, -1.1497002858837906, -0.9947651493243408, -0.9910609277967646, 1.136588650944596, 0.844515245553995, -1.1020988465209312, 1.1728789967749964","0.0, 1.0, 0.0, 0.0, 1.0, 1.0"
"-0.9373498766444905, -0.7874436026743951, 1.1770029128299964, -1.0504100342323173, 1.0067211183420686, 0.9701125900235738, -0.8448870808259772, 0.8496576201254782, -0.8659827891596001, -1.3070991668161267, -0.8191545720873326, -0.9063460211977974, 0.967430289407344, -0.9891640291244035, -1.0086053138161954","1.0, 1.0, 0.0, 1.0, 0.0, 0.0"
"-0.9566631771821594, -1.1415676202000267, -1.1745007911547944, -1.0171180440773426, -0.90954264694866, 0.9438542945146111, -0.9351995949268513, 0.829038476727644, -1.0998895724631992, -0.896460088363905, -0.9844842574336077, 0.8718836659210266, -0.9168760544598781, -0.9095283892797805, -1.1670561491734983","1.0, 1.0, 1.0, 1.0, 1.0, 0.0"
"-1.1078758776383353, -0.9822790304453718, 0.8772589900797723, 1.093108878748511, 0.9866140907159059, 1.094315353967001, 0.8284396475000563, -0.9246723952621909, -1.0253909475383682, -0.6628281640129084, -1.0899918359244607, -0.9097389653185474, 0.8628261455718259, -1.13324888404739, 1.265576867257378","1.0, 1.0, 0.0, 0.0, 0.0, 0.0"
"1.0608634420718819, 1.1630591044884464, 1.0277105550175696, 1.3795373915604154, 1.3635592153724805, -1.2850574316425007, 0.9738858929542145, 0.9991993900166452, 1.0943084291613412, -0.8820524517174777, -1.1310012888086867, -1.233838264781023, 1.2059097861086623, -1.2272457991957206, -0.9937998768925422","0.0, 0.0, 0.0, 0.0, 0.0, 1.0"
