Trame codée bruitée,Trame binaire originale
"1.0067598959921609, -1.0229716868701344, 1.1689182532937346, -0.9026989872642812, -0.8584241955148951, 0.975963318677611, 0.8477408072693895, -1.0566939319286066, -1.318219976893887, 0.9515316321764499, 1.0564891465663477, -0.8398442765107166, 1.0386278955388686, 0.8657221971270862, 0.994104229368467","0.0, 1.0, 0.0, 1.0, 1.0, 0.0"
"-0.9016554436697887, 0.9252778329206441, -1.0531634346394618, 0.6750778083466351, -0.9512872576414804, 0.9284350692270465, 0.76740656557552, 1.1762352035809955, -0.9250980644324402, 1.0615791587999488, -1.2013247550419737, 1.030705426699762, 1.1252023099380999, -0.9730965378038191, 1.1025305602703017","1.0, 0.0, 1.0, 0.0, 1.0, 0.0"
"-1.1751711800129803, -1.0069004606095762, -0.9174630343982496, -1.0522267777374743, 1.110540275342017, 1.2326497226200857, 0.8404651359392509, -1.1765908297737118, 0.9943132033175149, 1.0574003792207185, -0.9633336979968328, -1.4498114254085055, 0.9617410899422084, -0.9167656607157159, 1.1752593246897252","1.0, 1.0, 1.0, 1.0, 0.0, 0.0"
"-1.0426146534462073, 1.1198149677556906, 0.9236617602430978, -1.0325444532897405, 1.1810598990696946, -0.9041221776939565, -0.8153377702977133, -0.9336859061162922, -0.8362867448551878, -0.913267328959082, 0.8719495280905373, 0.9807506498076559, -1.0809439514360657, 0.9824452825920986, 1.1868304689026226","1.0, 0.0, 0.0, 1.0, 0.0, 1.0"
"1.0826790179331236, -0.9479348836421939, 1.1394450913626324, -0.8162023611209556, -0.9802281753590768, -1.2628856549105147, 1.0871475431399267, -0.9037601464981769, -1.0042680638095043, -0.9450549002715918, -1.033619629452944, 0.906282018976839, 1.0204718468886993, -0.8036902907995145, -1.1433479066533812","0.0, 1.0, 0.0, 1.0, 1.0, 1.0"
"-0.9437591998067594, 1.0808211611275758, -0.8668298221478831, 1.0307216096632887, 1.0590280503196061, -0.9187666624377698, -0.8269239118036976, -0.9532101132917934, 1.0956210599329756, 1.0466798734205927, 1.0630905386743907, 0.9837101735262433, -1.0305651558943827, 1.0577303110187788, 1.1872717017813992","1.0, 0.0, 1.0, 0.0, 0.0, 1.0"
"0.9221847969865699, 1.0257925332656859, 1.2867024977460824, -0.9207149018277446, 1.182288187877738, -0.9563688547858409, -0.8228263303210223, -1.2530512580079425, 0.9131911937226557, -0.8753725863425127, -1.1379460485554749, -0.8704310317922145, 0.9955858774555125, -1.2159544085666347, 1.02705447660108","0.0, 0.0, 0.0, 1.0, 0.0, 1.0"
"1.0570780482928608, 1.0579163559709464, -0.8429099749075232, -0.7839679601767712, -1.0226199886625809, 0.9957783184013675, -0.9450529394619396, -0.9065270483766709, 1.0483692875517177, 0.9250535635079016, 1.177458338281194, -1.233473319204344, -0.9828319498577884, 1.282215335626345, -1.12559278190217","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
"-0.8755630323260714, 1.0516347952139962, 0.9743835188328429, 0.8212465545475034, 0.7595436126078783, 1.1624504379105811, 1.0241100059825219, 1.142165272473921, -0.8574464650367891, 1.191579165151237, -0.7476398222513869, -0.9370103094092369, -0.8519503975012241, -1.0154687314514792, 1.0021218222471753","1.0, 0.0, 0.0, 0.0, 0.0, 0.0"
"0.8142934082666866, -1.2434429078341966, -1.0677012151083423, -1.037135631976575, 0.9647905846685634, -1.3596980170887414, 1.254217467181198, -1.0844591027253774, -1.0218441388256343, -1.259604203950079, -0.9414922566366247, -0.8205486403679148, -0.9152363542091625, -0.7367114223239392, -1.099312125909095","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
